Summary,Status,Priority,Due date,Description,Component,Resolution type,Resolved date,Risk type,Assignee (S),Reporter (S)
API Gateway relies on unvetted external vendors for critical operations.,In Progress,High,2025-05-01,API Gateway Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,API Gateway,Accepted,2025-03-20,Third-Party Risk,takuya.mori@example.com,haruka.kobayashi@example.com
Data Warehouse relies on unvetted external vendors for critical operations.,To Do,Low,,Data Warehouse Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,Data Warehouse,,,Third-Party Risk,takuya.mori@example.com,shohei.suzuki@example.com
System A lacks encryption and secure transmission protocols.,In Progress,High,2025-04-11,System A Lacks encryption and secure transmission protocols. This poses a data security risk and should be reviewed for proper mitigation steps.,System A,,,Data Security Risk,takuya.mori@example.com,mei.kuroda@example.com
System A lacks encryption and secure transmission protocols.,To Do,Medium,,System A Lacks encryption and secure transmission protocols. This poses a data security risk and should be reviewed for proper mitigation steps.,System A,,,Data Security Risk,takuya.mori@example.com,haruka.kobayashi@example.com
HR Portal grants unnecessary privileges to non-admin users.,In Progress,Medium,2025-04-21,HR Portal Grants unnecessary privileges to non-admin users. This poses a access control risk and should be reviewed for proper mitigation steps.,HR Portal,,,Access Control Risk,naomi.ishikawa@example.com,mei.kuroda@example.com
API Gateway has experienced unplanned outages due to missing redundancy.,To Do,Medium,,API Gateway Has experienced unplanned outages due to missing redundancy. This poses a system availability risk and should be reviewed for proper mitigation steps.,API Gateway,,,System Availability Risk,takuya.mori@example.com,haruka.kobayashi@example.com
Admin Console lacks documented release processes and R&R for approvals.,Done,Medium,,Admin Console Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,Admin Console,Accepted,2025-04-02,Change Management Risk,alice.nakamura@example.com,shohei.suzuki@example.com
System C relies on unvetted external vendors for critical operations.,Done,High,,System C Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,System C,Accepted,2025-04-02,Third-Party Risk,sota.fujikawa@example.com,haruka.kobayashi@example.com
System B is susceptible to insider misuse due to weak monitoring.,Done,Low,2025-05-02,System B Is susceptible to insider misuse due to weak monitoring. This poses a insider threat risk and should be reviewed for proper mitigation steps.,System B,Resolved,2025-03-19,Insider Threat Risk,takuya.mori@example.com,shohei.suzuki@example.com
API Gateway exposes personal data due to improper access control.,In Progress,High,2025-04-18,API Gateway Exposes personal data due to improper access control. This poses a data privacy risk and should be reviewed for proper mitigation steps.,API Gateway,,,Data Privacy Risk,takuya.mori@example.com,shohei.suzuki@example.com
System A is susceptible to insider misuse due to weak monitoring.,In Progress,Low,2025-04-25,System A Is susceptible to insider misuse due to weak monitoring. This poses a insider threat risk and should be reviewed for proper mitigation steps.,System A,,,Insider Threat Risk,alice.nakamura@example.com,haruka.kobayashi@example.com
HR Portal relies on unvetted external vendors for critical operations.,To Do,Medium,2024-11-29,HR Portal Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,HR Portal,,,Third-Party Risk,alice.nakamura@example.com,mei.kuroda@example.com
System C relies on unvetted external vendors for critical operations.,Done,High,2025-05-01,System C Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,System C,,,Third-Party Risk,takuya.mori@example.com,haruka.kobayashi@example.com
API Gateway grants unnecessary privileges to non-admin users.,In Progress,Medium,2025-04-27,API Gateway Grants unnecessary privileges to non-admin users. This poses a access control risk and should be reviewed for proper mitigation steps.,API Gateway,Third party,2025-02-05,Access Control Risk,alice.nakamura@example.com,shohei.suzuki@example.com
Customer DB has experienced unplanned outages due to missing redundancy.,In Progress,Low,2001-09-30,Customer DB Has experienced unplanned outages due to missing redundancy. This poses a system availability risk and should be reviewed for proper mitigation steps.,Customer DB,,,System Availability Risk,takuya.mori@example.com,shohei.suzuki@example.com
System A lacks encryption and secure transmission protocols.,To Do,Medium,,System A Lacks encryption and secure transmission protocols. This poses a data security risk and should be reviewed for proper mitigation steps.,System A,Won't resolve,2025-02-22,Data Security Risk,takuya.mori@example.com,haruka.kobayashi@example.com
Admin Console grants unnecessary privileges to non-admin users.,In Progress,Medium,2025-02-28,Admin Console Grants unnecessary privileges to non-admin users. This poses a access control risk and should be reviewed for proper mitigation steps.,Admin Console,,,Access Control Risk,takuya.mori@example.com,mei.kuroda@example.com
API Gateway is not aligned with regulatory standards or lacks compliance documentation.,To Do,Medium,2025-04-19,API Gateway Is not aligned with regulatory standards or lacks compliance documentation. This poses a compliance risk and should be reviewed for proper mitigation steps.,API Gateway,,,Compliance Risk,takuya.mori@example.com,mei.kuroda@example.com
Admin Console grants unnecessary privileges to non-admin users.,Done,High,,Admin Console Grants unnecessary privileges to non-admin users. This poses a access control risk and should be reviewed for proper mitigation steps.,Admin Console,Duplicate,2025-03-08,Access Control Risk,takuya.mori@example.com,haruka.kobayashi@example.com
HR Portal has inefficient workflows causing repeated processing errors.,Done,High,2025-04-03,HR Portal Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,HR Portal,Resolved,2025-03-29,Operational Risk,takuya.mori@example.com,mei.kuroda@example.com
Admin Console has experienced unplanned outages due to missing redundancy.,Done,High,,Admin Console Has experienced unplanned outages due to missing redundancy. This poses a system availability risk and should be reviewed for proper mitigation steps.,Admin Console,Invalid,2025-03-20,System Availability Risk,takuya.mori@example.com,shohei.suzuki@example.com
Data Warehouse lacks encryption and secure transmission protocols.,In Progress,Medium,2025-04-28,Data Warehouse Lacks encryption and secure transmission protocols. This poses a data security risk and should be reviewed for proper mitigation steps.,Data Warehouse,Duplicate,2025-03-30,Data Security Risk,takuya.mori@example.com,shohei.suzuki@example.com
Finance App lacks documented release processes and R&R for approvals.,To Do,Low,,Finance App Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,Finance App,Invalid,2024-03-21,Change Management Risk,takuya.mori@example.com,shohei.suzuki@example.com
API Gateway contains inconsistent or corrupted entries due to lack of validation.,Done,Low,,API Gateway Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,API Gateway,Accepted,2025-03-23,Data Integrity Risk,takuya.mori@example.com,haruka.kobayashi@example.com
Finance App is not aligned with regulatory standards or lacks compliance documentation.,To Do,Low,,Finance App Is not aligned with regulatory standards or lacks compliance documentation. This poses a compliance risk and should be reviewed for proper mitigation steps.,Finance App,,,Compliance Risk,sota.fujikawa@example.com,mei.kuroda@example.com
Data Warehouse is not aligned with regulatory standards or lacks compliance documentation.,To Do,Medium,,Data Warehouse Is not aligned with regulatory standards or lacks compliance documentation. This poses a compliance risk and should be reviewed for proper mitigation steps.,Data Warehouse,,,Compliance Risk,sota.fujikawa@example.com,shohei.suzuki@example.com
Admin Console has inefficient workflows causing repeated processing errors.,In Progress,Low,2024-04-30,Admin Console Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,Admin Console,,,Operational Risk,takuya.mori@example.com,shohei.suzuki@example.com
System C is susceptible to insider misuse due to weak monitoring.,To Do,Medium,,System C Is susceptible to insider misuse due to weak monitoring. This poses a insider threat risk and should be reviewed for proper mitigation steps.,System C,,,Insider Threat Risk,takuya.mori@example.com,haruka.kobayashi@example.com
Data Warehouse grants unnecessary privileges to non-admin users.,In Progress,Low,2025-04-09,Data Warehouse Grants unnecessary privileges to non-admin users. This poses a access control risk and should be reviewed for proper mitigation steps.,Data Warehouse,,,Access Control Risk,takuya.mori@example.com,shohei.suzuki@example.com
System C has inefficient workflows causing repeated processing errors.,To Do,High,2025-04-19,System C Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,System C,Third party,2025-02-28,Operational Risk,alice.nakamura@example.com,haruka.kobayashi@example.com
System C contains inconsistent or corrupted entries due to lack of validation.,To Do,Medium,,System C Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,System C,,,Data Integrity Risk,takuya.mori@example.com,mei.kuroda@example.com
System A exposes personal data due to improper access control.,Done,Medium,,System A Exposes personal data due to improper access control. This poses a data privacy risk and should be reviewed for proper mitigation steps.,System A,Accepted,2025-03-19,Data Privacy Risk,takuya.mori@example.com,mei.kuroda@example.com
HR Portal is not aligned with regulatory standards or lacks compliance documentation.,To Do,High,2024-05-07,HR Portal Is not aligned with regulatory standards or lacks compliance documentation. This poses a compliance risk and should be reviewed for proper mitigation steps.,HR Portal,,,Compliance Risk,takuya.mori@example.com,shohei.suzuki@example.com
Admin Console lacks documented release processes and R&R for approvals.,To Do,High,,Admin Console Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,Admin Console,,,Change Management Risk,takuya.mori@example.com,shohei.suzuki@example.com
API Gateway has experienced unplanned outages due to missing redundancy.,Done,Low,,API Gateway Has experienced unplanned outages due to missing redundancy. This poses a system availability risk and should be reviewed for proper mitigation steps.,API Gateway,,,System Availability Risk,takuya.mori@example.com,haruka.kobayashi@example.com
System B exposes personal data due to improper access control.,In Progress,Low,2025-04-11,System B Exposes personal data due to improper access control. This poses a data privacy risk and should be reviewed for proper mitigation steps.,System B,,,Data Privacy Risk,takuya.mori@example.com,haruka.kobayashi@example.com
Finance App has inefficient workflows causing repeated processing errors.,In Progress,High,2025-04-22,Finance App Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,Finance App,,,Operational Risk,takuya.mori@example.com,haruka.kobayashi@example.com
API Gateway exposes personal data due to improper access control.,To Do,High,2025-04-28,API Gateway Exposes personal data due to improper access control. This poses a data privacy risk and should be reviewed for proper mitigation steps.,API Gateway,Resolved,2025-03-24,Data Privacy Risk,takuya.mori@example.com,haruka.kobayashi@example.com
Admin Console has inefficient workflows causing repeated processing errors.,In Progress,High,2025-04-28,Admin Console Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,Admin Console,Won't resolve,2025-03-17,Operational Risk,naomi.ishikawa@example.com,shohei.suzuki@example.com
API Gateway lacks documented release processes and R&R for approvals.,In Progress,Medium,,API Gateway Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,API Gateway,,,Change Management Risk,takuya.mori@example.com,mei.kuroda@example.com
Admin Console is not aligned with regulatory standards or lacks compliance documentation.,To Do,Low,2025-04-18,Admin Console Is not aligned with regulatory standards or lacks compliance documentation. This poses a compliance risk and should be reviewed for proper mitigation steps.,Admin Console,Resolved,2025-04-03,Compliance Risk,takuya.mori@example.com,mei.kuroda@example.com
API Gateway has inefficient workflows causing repeated processing errors.,Done,Medium,2025-04-29,API Gateway Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,API Gateway,Resolved,2025-03-01,Operational Risk,takuya.mori@example.com,haruka.kobayashi@example.com
Data Warehouse grants unnecessary privileges to non-admin users.,To Do,Medium,,Data Warehouse Grants unnecessary privileges to non-admin users. This poses a access control risk and should be reviewed for proper mitigation steps.,Data Warehouse,,,Access Control Risk,sota.fujikawa@example.com,shohei.suzuki@example.com
Admin Console contains inconsistent or corrupted entries due to lack of validation.,In Progress,Low,2024-06-30,Admin Console Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,Admin Console,,,Data Integrity Risk,takumi.nishida@example.com,haruka.kobayashi@example.com
Customer DB has inefficient workflows causing repeated processing errors.,To Do,Low,,Customer DB Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,Customer DB,Duplicate,2025-02-23,Operational Risk,sota.fujikawa@example.com,haruka.kobayashi@example.com
Finance App relies on unvetted external vendors for critical operations.,Done,High,2023-04-30,Finance App Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,Finance App,Third party,2025-03-15,Third-Party Risk,takumi.nishida@example.com,haruka.kobayashi@example.com
Customer DB relies on unvetted external vendors for critical operations.,Done,Low,,Customer DB Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,Customer DB,,,Third-Party Risk,takuya.mori@example.com,shohei.suzuki@example.com
Finance App grants unnecessary privileges to non-admin users.,Done,High,,Finance App Grants unnecessary privileges to non-admin users. This poses a access control risk and should be reviewed for proper mitigation steps.,Finance App,Third party,2025-04-02,Access Control Risk,takuya.mori@example.com,mei.kuroda@example.com
Finance App exposes personal data due to improper access control.,Done,Medium,2023-04-13,Finance App Exposes personal data due to improper access control. This poses a data privacy risk and should be reviewed for proper mitigation steps.,Finance App,Accepted,2023-06-30,Data Privacy Risk,sota.fujikawa@example.com,haruka.kobayashi@example.com
Data Warehouse relies on unvetted external vendors for critical operations.,In Progress,High,2025-04-27,Data Warehouse Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,Data Warehouse,,,Third-Party Risk,takuya.mori@example.com,haruka.kobayashi@example.com
Admin Console lacks documented release processes and R&R for approvals.,In Progress,Low,2024-06-30,Admin Console Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,Admin Console,,,Change Management Risk,takuya.mori@example.com,shohei.suzuki@example.com
Data Warehouse exposes personal data due to improper access control.,Done,Low,,Data Warehouse Exposes personal data due to improper access control. This poses a data privacy risk and should be reviewed for proper mitigation steps.,Data Warehouse,Invalid,2025-04-03,Data Privacy Risk,alice.nakamura@example.com,haruka.kobayashi@example.com
System C relies on unvetted external vendors for critical operations.,In Progress,High,2025-04-29,System C Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,System C,Third party,2025-03-21,Third-Party Risk,takuya.mori@example.com,mei.kuroda@example.com
Customer DB contains inconsistent or corrupted entries due to lack of validation.,To Do,Medium,,Customer DB Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,Customer DB,,,Data Integrity Risk,takuya.mori@example.com,shohei.suzuki@example.com
Customer DB grants unnecessary privileges to non-admin users.,In Progress,Low,2025-04-25,Customer DB Grants unnecessary privileges to non-admin users. This poses a access control risk and should be reviewed for proper mitigation steps.,Customer DB,,,Access Control Risk,takuya.mori@example.com,haruka.kobayashi@example.com
HR Portal contains inconsistent or corrupted entries due to lack of validation.,Done,Low,,HR Portal Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,HR Portal,Resolved,2025-03-11,Data Integrity Risk,takuya.mori@example.com,haruka.kobayashi@example.com
Data Warehouse contains inconsistent or corrupted entries due to lack of validation.,Done,High,,Data Warehouse Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,Data Warehouse,Invalid,2025-02-19,Data Integrity Risk,alice.nakamura@example.com,shohei.suzuki@example.com
Data Warehouse relies on unvetted external vendors for critical operations.,To Do,Low,,Data Warehouse Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,Data Warehouse,Won't resolve,2025-03-08,Third-Party Risk,sota.fujikawa@example.com,shohei.suzuki@example.com
HR Portal lacks documented release processes and R&R for approvals.,Done,High,2025-04-20,HR Portal Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,HR Portal,Accepted,2025-03-23,Change Management Risk,takuya.mori@example.com,shohei.suzuki@example.com
Customer DB lacks encryption and secure transmission protocols.,To Do,High,,Customer DB Lacks encryption and secure transmission protocols. This poses a data security risk and should be reviewed for proper mitigation steps.,Customer DB,,,Data Security Risk,takuya.mori@example.com,mei.kuroda@example.com
Finance App lacks documented release processes and R&R for approvals.,To Do,Low,2023-05-11,Finance App Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,Finance App,,,Change Management Risk,takuya.mori@example.com,haruka.kobayashi@example.com
Finance App is not aligned with regulatory standards or lacks compliance documentation.,To Do,Medium,,Finance App Is not aligned with regulatory standards or lacks compliance documentation. This poses a compliance risk and should be reviewed for proper mitigation steps.,Finance App,,,Compliance Risk,takuya.mori@example.com,shohei.suzuki@example.com
System A contains inconsistent or corrupted entries due to lack of validation.,To Do,High,,System A Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,System A,,,Data Integrity Risk,takuya.mori@example.com,haruka.kobayashi@example.com
API Gateway contains inconsistent or corrupted entries due to lack of validation.,In Progress,High,2025-04-22,API Gateway Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,API Gateway,,,Data Integrity Risk,takuya.mori@example.com,shohei.suzuki@example.com
System C is susceptible to insider misuse due to weak monitoring.,In Progress,Medium,2025-04-08,System C Is susceptible to insider misuse due to weak monitoring. This poses a insider threat risk and should be reviewed for proper mitigation steps.,System C,,,Insider Threat Risk,takuya.mori@example.com,mei.kuroda@example.com
System B lacks documented release processes and R&R for approvals.,To Do,High,,System B Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,System B,,,Change Management Risk,takuya.mori@example.com,shohei.suzuki@example.com
Finance App is susceptible to insider misuse due to weak monitoring.,Done,Medium,,Finance App Is susceptible to insider misuse due to weak monitoring. This poses a insider threat risk and should be reviewed for proper mitigation steps.,Finance App,Invalid,2023-03-30,Insider Threat Risk,takuya.mori@example.com,haruka.kobayashi@example.com
System B contains inconsistent or corrupted entries due to lack of validation.,In Progress,High,2025-04-19,System B Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,System B,,,Data Integrity Risk,takuya.mori@example.com,mei.kuroda@example.com
Admin Console is not aligned with regulatory standards or lacks compliance documentation.,To Do,Medium,,Admin Console Is not aligned with regulatory standards or lacks compliance documentation. This poses a compliance risk and should be reviewed for proper mitigation steps.,Admin Console,,,Compliance Risk,takumi.nishida@example.com,shohei.suzuki@example.com
System B has experienced unplanned outages due to missing redundancy.,In Progress,Medium,2025-04-26,System B Has experienced unplanned outages due to missing redundancy. This poses a system availability risk and should be reviewed for proper mitigation steps.,System B,,,System Availability Risk,takuya.mori@example.com,haruka.kobayashi@example.com
HR Portal contains inconsistent or corrupted entries due to lack of validation.,In Progress,Medium,2025-04-30,HR Portal Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,HR Portal,,,Data Integrity Risk,takuya.mori@example.com,haruka.kobayashi@example.com
System A is susceptible to insider misuse due to weak monitoring.,In Progress,Low,2025-04-24,System A Is susceptible to insider misuse due to weak monitoring. This poses a insider threat risk and should be reviewed for proper mitigation steps.,System A,,,Insider Threat Risk,takuya.mori@example.com,mei.kuroda@example.com
API Gateway has inefficient workflows causing repeated processing errors.,To Do,Medium,,API Gateway Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,API Gateway,,,Operational Risk,takuya.mori@example.com,mei.kuroda@example.com
HR Portal lacks encryption and secure transmission protocols.,Done,High,2025-04-10,HR Portal Lacks encryption and secure transmission protocols. This poses a data security risk and should be reviewed for proper mitigation steps.,HR Portal,Third party,2025-03-25,Data Security Risk,takuya.mori@example.com,mei.kuroda@example.com
Admin Console relies on unvetted external vendors for critical operations.,To Do,High,,Admin Console Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,Admin Console,,,Third-Party Risk,alice.nakamura@example.com,mei.kuroda@example.com
API Gateway relies on unvetted external vendors for critical operations.,Done,High,,API Gateway Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,API Gateway,Duplicate,2025-04-03,Third-Party Risk,takuya.mori@example.com,mei.kuroda@example.com
Admin Console has inefficient workflows causing repeated processing errors.,Done,Medium,2025-04-26,Admin Console Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,Admin Console,Duplicate,2025-04-03,Operational Risk,takuya.mori@example.com,shohei.suzuki@example.com
System C lacks encryption and secure transmission protocols.,In Progress,High,2025-04-12,System C Lacks encryption and secure transmission protocols. This poses a data security risk and should be reviewed for proper mitigation steps.,System C,,,Data Security Risk,takuya.mori@example.com,shohei.suzuki@example.com
